algorithm,type,treads,dim,time
row,int,1,1000,21
col,int,1,1000,36
block,int,1,1000,21
row,int,1,2000,83
col,int,1,2000,153
block,int,1,2000,86
row,int,1,3000,188
col,int,1,3000,349
block,int,1,3000,192
row,int,1,4000,333
col,int,1,4000,625
block,int,1,4000,343
row,int,1,5000,520
col,int,1,5000,1017
block,int,1,5000,534
row,int,1,6000,752
col,int,1,6000,1475
block,int,1,6000,767
row,int,1,7000,1018
col,int,1,7000,2076
block,int,1,7000,1044
row,int,1,8000,1332
col,int,1,8000,2759
block,int,1,8000,1368
row,int,1,9000,1687
col,int,1,9000,3648
block,int,1,9000,1727
row,int,1,10000,2092
col,int,1,10000,4509
block,int,1,10000,2131
row,int,2,1000,10
col,int,2,1000,18
block,int,2,1000,13
row,int,2,2000,42
col,int,2,2000,83
block,int,2,2000,50
row,int,2,3000,96
col,int,2,3000,191
block,int,2,3000,114
row,int,2,4000,177
col,int,2,4000,359
block,int,2,4000,190
row,int,2,5000,276
col,int,2,5000,559
block,int,2,5000,326
row,int,2,6000,392
col,int,2,6000,794
block,int,2,6000,465
row,int,2,7000,549
col,int,2,7000,1141
block,int,2,7000,625
row,int,2,8000,716
col,int,2,8000,1521
block,int,2,8000,795
row,int,2,9000,887
col,int,2,9000,1976
block,int,2,9000,988
row,int,2,10000,1100
col,int,2,10000,2427
block,int,2,10000,1194
row,int,4,1000,5
col,int,4,1000,10
block,int,4,1000,6
row,int,4,2000,23
col,int,4,2000,44
block,int,4,2000,26
row,int,4,3000,54
col,int,4,3000,103
block,int,4,3000,57
row,int,4,4000,95
col,int,4,4000,186
block,int,4,4000,99
row,int,4,5000,149
col,int,4,5000,299
block,int,4,5000,164
row,int,4,6000,214
col,int,4,6000,440
block,int,4,6000,228
row,int,4,7000,286
col,int,4,7000,643
block,int,4,7000,319
row,int,4,8000,382
col,int,4,8000,837
block,int,4,8000,404
row,int,4,9000,485
col,int,4,9000,1090
block,int,4,9000,517
row,int,4,10000,597
col,int,4,10000,1394
block,int,4,10000,648
row,int,8,1000,3
col,int,8,1000,6
block,int,8,1000,3
row,int,8,2000,11
col,int,8,2000,25
block,int,8,2000,14
row,int,8,3000,28
col,int,8,3000,60
block,int,8,3000,31
row,int,8,4000,50
col,int,8,4000,112
block,int,8,4000,58
row,int,8,5000,83
col,int,8,5000,185
block,int,8,5000,89
row,int,8,6000,119
col,int,8,6000,275
block,int,8,6000,130
row,int,8,7000,164
col,int,8,7000,382
block,int,8,7000,177
row,int,8,8000,213
col,int,8,8000,504
block,int,8,8000,231
row,int,8,9000,273
col,int,8,9000,675
block,int,8,9000,292
row,int,8,10000,339
col,int,8,10000,887
block,int,8,10000,355
row,int,16,1000,2
col,int,16,1000,4
block,int,16,1000,2
row,int,16,2000,8
col,int,16,2000,18
block,int,16,2000,9
row,int,16,3000,17
col,int,16,3000,43
block,int,16,3000,20
row,int,16,4000,31
col,int,16,4000,80
block,int,16,4000,35
row,int,16,5000,47
col,int,16,5000,128
block,int,16,5000,53
row,int,16,6000,68
col,int,16,6000,187
block,int,16,6000,76
row,int,16,7000,92
col,int,16,7000,271
block,int,16,7000,104
row,int,16,8000,120
col,int,16,8000,401
block,int,16,8000,135
row,int,16,9000,153
col,int,16,9000,615
block,int,16,9000,168
row,int,16,10000,187
col,int,16,10000,786
block,int,16,10000,208
row,int,32,1000,2
col,int,32,1000,4
block,int,32,1000,3
row,int,32,2000,7
col,int,32,2000,14
block,int,32,2000,9
row,int,32,3000,17
col,int,32,3000,41
block,int,32,3000,20
row,int,32,4000,29
col,int,32,4000,77
block,int,32,4000,34
row,int,32,5000,44
col,int,32,5000,126
block,int,32,5000,50
row,int,32,6000,63
col,int,32,6000,191
block,int,32,6000,73
row,int,32,7000,84
col,int,32,7000,300
block,int,32,7000,97
row,int,32,8000,111
col,int,32,8000,427
block,int,32,8000,126
row,int,32,9000,140
col,int,32,9000,665
block,int,32,9000,157
row,int,32,10000,170
col,int,32,10000,859
block,int,32,10000,195
